model,raw_score,quantization_score,final_score
RTX_A4000,0.30963215,0.04000000000000001,50.67624830243761
RTX_A4000,0.30153515,0.04000000000000001,49.35104488766031
RTX_A4000,0.311975,0.04000000000000001,51.05969313636511
RTX_A4000,0.31174999999999997,0.04000000000000001,51.02286829156767
RTX_A4000,0.30822499999999997,0.04000000000000001,50.4459457230744
RTX_A4000,0.31077499999999997,0.04000000000000001,50.86329396411209
RTX_A4000,0.30890045,0.04000000000000001,50.55649390715633
RTX_A4000,0.308975,0.04000000000000001,50.56869520573255
RTX_A4000,0.30875,0.04000000000000001,50.5318703609351
RTX_A4000,0.3047033,0.04000000000000001,49.869563252304836
RTX_A4000,0.306005,0.04000000000000001,50.082607254406305
RTX_A4000,0.305,0.04000000000000001,49.91812294764439
RTX_A4000,0.303575,0.04000000000000001,49.684898930593924
RTX_A4000,0.2996,0.04000000000000001,49.03432667250577
RTX_A4000,0.3092,0.04000000000000001,50.60552005052998
RTX_A4000,0.30815,0.04000000000000001,50.43367077480858
RTX_A4000,0.3065,0.04000000000000001,50.16362191296068
RTX_A4000,0.31325,0.04000000000000001,51.26836725688395
RTX_A4000,0.3029,0.04000000000000001,49.5744243962016
RTX_A4000,0.314,0.04000000000000001,51.3911167395421
RTX_A4000,0.30584,0.04000000000000001,50.05560236822151
RTX_A4000,0.304265,0.04000000000000001,49.79782845463942
RTX_PRO_6000_BLACKWELL,0.52550015,0.2,99.23826392196308
RTX_PRO_6000_BLACKWELL,0.516515,0.2,97.54146005410796
RTX_PRO_6000_BLACKWELL,0.510515,0.2,96.40838790649437
RTX_PRO_6000_BLACKWELL,0.5,0.2,94.4226789678015
RTX_PRO_6000_BLACKWELL,0.5295337999999999,0.2,100.0
RTX_PRO_6000_BLACKWELL,0.5,0.2,94.4226789678015
RTX_PRO_6000_BLACKWELL,0.5,0.2,94.4226789678015
A2,0.4725178571428571,0.04000000000000001,77.33509668135939
A2,0.4710928571428571,0.04000000000000001,77.10187266430891
A2,0.4738078571428571,0.04000000000000001,77.54622579153138
A2,0.4035028571428571,0.04000000000000001,66.03968928715716
A2,0.47665785714285713,0.04000000000000001,78.01267382563233
A2,0.4758928571428571,0.04000000000000001,77.88746935332102
A2,0.4579378571428571,0.04000000000000001,74.9488467384851
A2,0.4584628571428571,0.04000000000000001,75.0347713763458
A2,0.47619285714285714,0.04000000000000001,77.93656914638429
A2,0.4793278571428571,0.04000000000000001,78.4496619838953
A2,0.4754428571428571,0.04000000000000001,77.81381966372614
A2,0.4646878571428571,0.04000000000000001,76.05359208240839
A2,0.4624228571428571,0.04000000000000001,75.68288864478079
A2,0.4657978571428571,0.04000000000000001,76.23526131674242
A2,0.4608928571428571,0.04000000000000001,75.43247970015817
A2,0.4725178571428571,0.04000000000000001,77.33509668135939
A2,0.4710928571428571,0.04000000000000001,77.10187266430891
A2,0.4738078571428571,0.04000000000000001,77.54622579153138
A2,0.4035028571428571,0.04000000000000001,66.03968928715716
A2,0.47665785714285713,0.04000000000000001,78.01267382563233
